term,estimate,std.error,statistic,p.value,conf.low,conf.high,dataset,outcome,model_name,model_block,family_name,n,AIC,BIC,p_adj_fdr
z_syntactic_dist,-6.67472734933593,3.62730305741737,-1.84013501041413,0.0665668833782152,-13.8079595964832,0.458504897811341,stex,Speaking,z_syntactic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5229.58811267714,5975.02745670345,0.128542947213105
AaA,-0.764310763456587,0.301003979611776,-2.53920484520626,0.0115282965089459,-1.3562467720831,-0.172374754830076,stex,Speaking,z_syntactic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5229.58811267714,5975.02745670345,0.0268993585208737
LoR,0.277649981270847,0.519262942576231,0.534700165379289,0.59318546486124,-0.743500749203437,1.29880071174513,stex,Speaking,z_syntactic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5229.58811267714,5975.02745670345,0.691037643465678
Edu.day,3.72809326329535,2.55266157492137,1.46047298236555,0.145027468108589,-1.2918147989903,8.748001325581,stex,Speaking,z_syntactic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5229.58811267714,5975.02745670345,0.236803977838894
prop_female,15.4439007217425,5.10548455335399,3.02496277490387,0.00266426093891158,5.40376719090186,25.4840342525832,stex,Speaking,z_syntactic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5229.58811267714,5975.02745670345,0.00828881180994714
Enroll,0.424512370134453,0.118341972101712,3.58716660365938,0.000380226876007065,0.191788288847466,0.657236451421441,stex,Speaking,z_syntactic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5229.58811267714,5975.02745670345,0.00467727593387124
z_syntactic_dist:AaA,0.271322849354833,0.139537401606951,1.94444533315229,0.0526160267628131,-0.00308286670202479,0.545728565411691,stex,Speaking,z_syntactic_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5229.58811267714,5975.02745670345,0.109129536989538
z_morphological_dist,-9.71859773326002,3.87137061842091,-2.51037647674873,0.0124956272137066,-17.3317983119954,-2.10539715452466,stex,Speaking,z_morphological_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5225.0096266399,5970.44897066622,0.0279902049587029
AaA,-0.631596290022482,0.316122013901556,-1.99795098806111,0.0464697337560508,-1.2532624998487,-0.0099300801962614,stex,Speaking,z_morphological_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5225.0096266399,5970.44897066622,0.100088657320725
LoR,0.243295937119631,0.520388904203811,0.467527142016741,0.640404089518625,-0.780069040596686,1.26666091483595,stex,Speaking,z_morphological_dist_x_AaA,interaction_AaA,gaussian_pair_weighted,536,5225.0096266399,5970.44897066622,0.691037643465678
