term,estimate,std.error,statistic,p.value,conf.low,conf.high,dataset,outcome,model_name,model_block,n,r.squared,adj.r.squared,AIC,BIC,p_adj_fdr
z_phonological_dist,-0.779837521974746,0.373224846562181,-2.08945767988901,0.039283612567751,-1.52058552854322,-0.0390895154062743,toefl,Speaking,all8_block,all8_block,106,0.26175453777036,0.200868314081317,483.548418034761,510.182808975882,0.0714247501231837
z_inventory_dist,-0.461761520423346,0.961760053912603,-0.480121334364867,0.632222064699937,-2.37058899880575,1.44706595795906,toefl,Speaking,all8_block,all8_block,106,0.26175453777036,0.200868314081317,483.548418034761,510.182808975882,0.702468960777708
(Intercept),21.122641509434,0.197650111430127,106.868857075758,3.75671689212691e-108,20.7306939213543,21.5145890975136,toefl,Writing,z_featural_dist,single_distance,106,0.105413913722289,0.0968121244311569,455.413936149879,463.404253432215,
z_featural_dist,-0.695200243495767,0.19858907211397,-3.50069737521504,0.000684840382257645,-1.08900982584735,-0.30139066114418,toefl,Writing,z_featural_dist,single_distance,106,0.105413913722289,0.0968121244311569,455.413936149879,463.404253432215,0.0044405827547595
(Intercept),21.122641509434,0.208011694277062,101.545451965309,7.2598965025313e-106,20.7101465137351,21.5351365051328,toefl,Writing,z_script_dist,single_distance,106,0.00916003583922544,-0.000367271508474376,466.246276932798,474.236594215134,
z_script_dist,-0.20493188420645,0.208999878909454,-0.980535899234822,0.329097165103251,-0.619386487114451,0.209522718701551,toefl,Writing,z_script_dist,single_distance,106,0.00916003583922544,-0.000367271508474376,466.246276932798,474.236594215134,0.387173135415589
(Intercept),21.122641509434,0.202570349575222,104.273115753252,4.73403980641858e-107,20.7209369044734,21.5243461143946,toefl,Writing,z_geographic_dist,single_distance,106,0.0603204678579015,0.0512850877411506,460.62677828748,468.617095569817,
z_geographic_dist,-0.5258880440641,0.203532684443578,-2.58380144447947,0.0111601746897652,-0.929500995181685,-0.122275092946515,toefl,Writing,z_geographic_dist,single_distance,106,0.0603204678579015,0.0512850877411506,460.62677828748,468.617095569817,0.0318862133993291
(Intercept),21.122641509434,0.194345123339136,108.686244071967,6.60493829726288e-109,20.7372478367633,21.5080351821046,toefl,Writing,z_genetic_dist,single_distance,106,0.135081259859851,0.12676473351235,451.839024947199,459.829342229536,
z_genetic_dist,-0.786970581572974,0.195268383278591,-4.03019970954642,0.000106324646595464,-1.17419511335023,-0.399746049795722,toefl,Writing,z_genetic_dist,single_distance,106,0.135081259859851,0.12676473351235,451.839024947199,459.829342229536,0.00106324646595464
(Intercept),21.122641509434,0.198111352065291,106.620046197417,4.77687922080473e-108,20.7297792638661,21.5155037550019,toefl,Writing,z_syntactic_dist,single_distance,106,0.101233790568712,0.0925918077857192,455.908087642362,463.898404924699,
z_syntactic_dist,-0.681276950895359,0.19905250392838,-3.42259925120301,0.0008881165509519,-1.07600553592589,-0.286548365864831,toefl,Writing,z_syntactic_dist,single_distance,106,0.101233790568712,0.0925918077857192,455.908087642362,463.898404924699,0.0044405827547595
(Intercept),21.122641509434,0.203760334556448,103.664148154323,8.65538557612241e-107,20.7185771195996,21.5267058992683,toefl,Writing,z_morphological_dist,single_distance,106,0.0492478805923041,0.040106033290307,461.868513391993,469.858830674329,
